file,verdict_scaled,verdict_unscaled,changed_cols,ext_scaled,size_bytes_scaled,status_scaled,searchable_scaled,programmatic_scaled,text_extractable_scaled,is_structured_scaled,page_or_sheet_count_scaled,attachment_count_scaled,estimated_entities_scaled,estimate_truncated_scaled,bde_person_count_scaled,bde_confirmed_scaled,entity_bucket_scaled,entities_found_scaled,value_signal_scaled,pi_categories_scaled,is_bde_scaled,complexity_bucket_scaled,ambiguity_scaled,llm_consulted_scaled,llm_responsive_scaled,llm_tokens_scaled,suggested_lane_scaled,detail_scaled,ocr_attempted_scaled,ocr_scaled,ocr_pages_scaled,img_ocr_qualifying_scaled,img_ocr_calls_scaled,img_ocr_ok_scaled,img_decode_failed_scaled,di_calls_scaled,elapsed_s_scaled,nr_stage1_scaled,bde_stage1_scaled,s2_ran_scaled,s2_skip_reason_scaled,s2_llm_consulted_scaled,s2_llm_responsiveness_scaled,s2_llm_responsive_scaled,s2_llm_tokens_scaled,s2_is_bde_scaled,s2_lane_scaled,s2_nr_scaled,s2_detail_scaled,llm_tokens_total_scaled,ext_unscaled,size_bytes_unscaled,status_unscaled,searchable_unscaled,programmatic_unscaled,text_extractable_unscaled,is_structured_unscaled,page_or_sheet_count_unscaled,attachment_count_unscaled,estimated_entities_unscaled,estimate_truncated_unscaled,bde_person_count_unscaled,bde_confirmed_unscaled,entity_bucket_unscaled,entities_found_unscaled,value_signal_unscaled,pi_categories_unscaled,is_bde_unscaled,complexity_bucket_unscaled,ambiguity_unscaled,llm_consulted_unscaled,llm_responsive_unscaled,llm_tokens_unscaled,suggested_lane_unscaled,detail_unscaled,ocr_attempted_unscaled,ocr_unscaled,ocr_pages_unscaled,img_ocr_qualifying_unscaled,img_ocr_calls_unscaled,img_ocr_ok_unscaled,img_decode_failed_unscaled,di_calls_unscaled,elapsed_s_unscaled,nr_stage1_unscaled,bde_stage1_unscaled,s2_ran_unscaled,s2_skip_reason_unscaled,s2_llm_consulted_unscaled,s2_llm_responsiveness_unscaled,s2_llm_responsive_unscaled,s2_llm_tokens_unscaled,s2_is_bde_unscaled,s2_lane_unscaled,s2_nr_unscaled,s2_detail_unscaled,llm_tokens_total_unscaled
CNG_Data2k_variance/files/Q00897.01-0000001899.PDF,responsive,nr,"estimated_entities,llm_tokens,elapsed_s,s2_llm_responsiveness,s2_llm_responsive,s2_llm_tokens,s2_lane,s2_nr,llm_tokens_total",.pdf,58729,ok,True,False,text,False,3,0,1,False,0,False,0-10,Name,False,,False,,ambiguous,True,yes,3916,standard,,False,False,0,0,0,0,0,0,5.082,False,False,True,,True,likely_yes,yes,3979,False,standard,False,,7895,.pdf,58729,ok,True,False,text,False,3,0,2,False,0,False,0-10,Name,False,,False,,ambiguous,True,yes,2157,standard,,False,False,0,0,0,0,0,0,2.641,False,False,True,,True,borderline,no,2330,False,likely_non_responsive,True,,4487
CNG_Data2k_variance/files/Q00897.01-0000002506.PDF,responsive,nr,"estimated_entities,llm_tokens,elapsed_s,s2_llm_responsiveness,s2_llm_responsive,s2_llm_tokens,s2_lane,s2_nr,llm_tokens_total",.pdf,399127,ok,True,False,text,False,1,0,2,False,0,False,0-10,Name | Work-Related,True,Work-Related Information,False,,ambiguous,True,yes,3896,standard,,False,False,0,0,0,0,0,0,5.573,False,False,True,,True,clear_yes,yes,3960,False,standard,False,,7856,.pdf,399127,ok,True,False,text,False,1,0,3,False,0,False,0-10,Name | Work-Related,True,Work-Related Information,False,,ambiguous,True,yes,2158,standard,,False,False,0,0,0,0,0,0,4.906,False,False,True,,True,clear_no,no,2290,False,likely_non_responsive,True,,4448
CNG_Data2k_variance/files/Q00897.01-0000004662.PDF,nr,responsive,"estimated_entities,entities_found,ambiguity,llm_consulted,llm_responsive,llm_tokens,suggested_lane,elapsed_s,nr_stage1,s2_ran,s2_skip_reason,s2_llm_consulted,s2_llm_responsiveness,s2_llm_responsive,s2_llm_tokens,s2_lane,llm_tokens_total",.pdf,61855,ok,True,False,text,False,1,0,0,False,0,False,0-10,,False,,False,,clear_non_responsive,False,,0,likely_non_responsive,,True,True,1,0,0,0,0,1,4.366,True,False,False,stage1_nr,False,,,0,False,,False,,0,.pdf,61855,ok,True,False,text,False,1,0,2,False,0,False,0-10,Name,False,,False,,ambiguous,True,yes,2016,standard,,True,True,1,0,0,0,0,1,6.174,False,False,True,,True,likely_yes,yes,2196,False,standard,False,,4212
CNG_Data2k_variance/files/Q00897.01-0000004740.PDF,nr,responsive,"estimated_entities,entities_found,ambiguity,llm_consulted,llm_responsive,llm_tokens,suggested_lane,elapsed_s,nr_stage1,s2_ran,s2_skip_reason,s2_llm_consulted,s2_llm_responsiveness,s2_llm_responsive,s2_llm_tokens,s2_lane,llm_tokens_total",.pdf,76911,ok,True,False,text,False,1,0,0,False,0,False,0-10,,False,,False,,clear_non_responsive,False,,0,likely_non_responsive,,True,True,1,0,0,0,0,1,4.23,True,False,False,stage1_nr,False,,,0,False,,False,,0,.pdf,76911,ok,True,False,text,False,1,0,2,False,0,False,0-10,Name,False,,False,,ambiguous,True,yes,1977,standard,,True,True,1,0,0,0,0,1,6.713,False,False,True,,True,likely_yes,yes,2163,False,standard,False,,4140
CNG_Data2k_variance/files/Q00897.01-0000005103.PDF,nr,responsive,"estimated_entities,entities_found,value_signal,ambiguity,llm_consulted,llm_responsive,llm_tokens,suggested_lane,elapsed_s,nr_stage1,s2_ran,s2_skip_reason,s2_llm_consulted,s2_llm_responsiveness,s2_llm_responsive,s2_llm_tokens,s2_lane,llm_tokens_total",.pdf,219897,ok,True,False,text,False,2,0,1,False,0,False,0-10,Money/Amount,False,Financial Account Information,False,,clear_non_responsive,False,,0,likely_non_responsive,,False,False,0,0,0,0,0,0,0.166,True,False,False,stage1_nr,False,,,0,False,,False,,0,.pdf,219897,ok,True,False,text,False,2,0,6,False,0,False,0-10,Name | Money/Amount,True,Financial Account Information,False,,ambiguous,True,yes,2630,standard,,False,False,0,0,0,0,0,0,3.395,False,False,True,,True,clear_yes,yes,2842,False,standard,False,,5472
CNG_Data2k_variance/files/Q00897.01-0000005462.PDF,nr,responsive,"entities_found,value_signal,ambiguity,llm_consulted,llm_responsive,llm_tokens,suggested_lane,elapsed_s,nr_stage1,s2_ran,s2_skip_reason,s2_llm_consulted,s2_llm_responsiveness,s2_llm_responsive,s2_llm_tokens,s2_lane,llm_tokens_total",.pdf,214436,ok,True,False,text,False,2,0,1,False,0,False,0-10,Money/Amount,False,Financial Account Information,False,,clear_non_responsive,False,,0,likely_non_responsive,,False,False,0,0,0,0,0,0,0.143,True,False,False,stage1_nr,False,,,0,False,,False,,0,.pdf,214436,ok,True,False,text,False,2,0,1,False,0,False,0-10,Name | Money/Amount,True,Financial Account Information,False,,ambiguous,True,yes,2450,standard,,False,False,0,0,0,0,0,0,2.548,False,False,True,,True,clear_yes,yes,2662,False,standard,False,,5112
CNG_Data2k_variance/files/Q00897.01-0000005550.PDF,nr,responsive,"estimated_entities,entities_found,ambiguity,llm_consulted,llm_responsive,llm_tokens,suggested_lane,elapsed_s,nr_stage1,s2_ran,s2_skip_reason,s2_llm_consulted,s2_llm_responsiveness,s2_llm_responsive,s2_llm_tokens,s2_lane,llm_tokens_total",.pdf,70931,ok,True,False,text,False,1,0,0,False,0,False,0-10,,False,,False,,clear_non_responsive,False,,0,likely_non_responsive,,True,True,1,0,0,0,0,1,4.366,True,False,False,stage1_nr,False,,,0,False,,False,,0,.pdf,70931,ok,True,False,text,False,1,0,1,False,0,False,0-10,Name,False,,False,,ambiguous,True,yes,2015,standard,,True,True,1,0,0,0,0,1,6.525,False,False,True,,True,clear_yes,yes,2214,False,standard,False,,4229
CNG_Data2k_variance/files/Q00897.01-0000006641.PDF,responsive,nr,"estimated_entities,bde_person_count,bde_confirmed,entities_found,value_signal,is_bde,llm_responsive,llm_tokens,suggested_lane,detail,elapsed_s,bde_stage1,s2_llm_responsiveness,s2_llm_responsive,s2_llm_tokens,s2_is_bde,s2_lane,s2_nr,llm_tokens_total",.pdf,92356,ok,True,False,text,False,1,0,1,False,0,False,0-10,Work-Related,False,Work-Related Information,False,,ambiguous,True,yes,5672,standard,,False,False,0,0,0,0,0,0,3.482,False,False,True,,True,likely_yes,yes,5702,False,standard,False,,11374,.pdf,92356,ok,True,False,text,False,1,0,8,False,8,True,0-10,Name | Work-Related,True,Work-Related Information,True,,ambiguous,True,no,7038,bde,bde_llm_count_roster,False,False,0,0,0,0,0,0,4.075,False,True,True,,True,clear_no,no,4108,True,likely_non_responsive,True,,11146
CNG_Data2k_variance/files/Q00897.01-0000013917.PDF,nr,responsive,"estimated_entities,bde_person_count,bde_confirmed,entity_bucket,entities_found,value_signal,is_bde,ambiguity,llm_consulted,llm_responsive,llm_tokens,suggested_lane,detail,elapsed_s,nr_stage1,bde_stage1,s2_ran,s2_skip_reason,s2_llm_consulted,s2_llm_responsiveness,s2_llm_responsive,s2_llm_tokens,s2_is_bde,s2_lane,llm_tokens_total",.pdf,256388,ok,True,False,text,False,1,0,1,False,0,False,0-10,Money/Amount,False,Financial Account Information,False,,clear_non_responsive,False,,0,likely_non_responsive,,False,False,0,0,0,0,0,0,0.122,True,False,False,stage1_nr,False,,,0,False,,False,,0,.pdf,256388,ok,True,False,text,False,1,0,21,False,21,True,20-50,Name | Money/Amount,True,Financial Account Information,True,,ambiguous,True,yes,4476,bde,bde_llm_count_roster,False,False,0,0,0,0,0,0,4.492,False,True,True,,True,clear_yes,yes,2883,True,bde,False,,7359
CNG_Data2k_variance/files/Q00897.01-0000016839.PDF,nr,responsive,"estimated_entities,llm_tokens,elapsed_s,s2_llm_responsiveness,s2_llm_responsive,s2_llm_tokens,s2_lane,s2_nr,llm_tokens_total",.pdf,168771,ok,True,False,text,False,1,0,2,False,0,False,0-10,Name | Email | Money/Amount,True,Contact Information | Financial Account Information,False,,ambiguous,True,yes,4190,standard,,False,False,0,0,0,0,0,0,3.189,False,False,True,,True,likely_no,no,4251,False,likely_non_responsive,True,,8441,.pdf,168771,ok,True,False,text,False,1,0,3,False,0,False,0-10,Name | Email | Money/Amount,True,Contact Information | Financial Account Information,False,,ambiguous,True,yes,2411,standard,,False,False,0,0,0,0,0,0,2.57,False,False,True,,True,likely_yes,yes,2593,False,standard,False,,5004
