rel_path,file_name,ext,size_bytes,status,searchable,programmatic,text_extractable,is_structured,page_or_sheet_count,attachment_count,estimated_entities,estimate_truncated,bde_person_count,bde_confirmed,entity_bucket,entities_found,value_signal,pi_categories,is_bde,complexity_bucket,ambiguity,llm_consulted,llm_responsive,llm_tokens,suggested_lane,detail,ocr_attempted,ocr,ocr_pages,img_ocr_qualifying,img_ocr_calls,img_ocr_ok,img_decode_failed,di_calls,elapsed_s,nr_stage1,bde_stage1,s2_ran,s2_skip_reason,s2_llm_consulted,s2_llm_responsiveness,s2_llm_responsive,s2_llm_tokens,s2_is_bde,s2_lane,s2_nr,s2_detail,llm_tokens_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natives New/files/Q00912.01-0000009410.PDF,Q00912.01-0000009410.PDF,.pdf,14973672,error,FALSE,FALSE,,FALSE,0,0,0,FALSE,0,FALSE,,,FALSE,,FALSE,,,FALSE,,0,review_error,NameError,FALSE,FALSE,0,0,0,0,0,0,1.828,FALSE,FALSE,FALSE,extract_error,FALSE,,,0,FALSE,,FALSE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natives New/files/Q00912.01-0000017235.PDF,Q00912.01-0000017235.PDF,.pdf,19596675,error,FALSE,FALSE,,FALSE,0,0,0,FALSE,0,FALSE,,,FALSE,,FALSE,,,FALSE,,0,review_error,NameError,FALSE,FALSE,0,0,0,0,0,0,2.266,FALSE,FALSE,FALSE,extract_error,FALSE,,,0,FALSE,,FALSE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natives New/files/Q00912.01-0000055295.PDF,Q00912.01-0000055295.PDF,.pdf,1921976,error,FALSE,FALSE,,FALSE,0,0,0,FALSE,0,FALSE,,,FALSE,,FALSE,,,FALSE,,0,review_error,NameError,FALSE,FALSE,0,0,0,0,0,0,150.007,FALSE,FALSE,FALSE,extract_error,FALSE,,,0,FALSE,,FALSE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natives New/files/Q00912.01-0000078071.XLSX,Q00912.01-0000078071.XLSX,.xlsx,70205,error,FALSE,FALSE,,FALSE,0,0,0,FALSE,0,FALSE,,,FALSE,,FALSE,,,FALSE,,0,review_error,ValueError,FALSE,FALSE,0,0,0,0,0,0,0.058,FALSE,FALSE,FALSE,extract_error,FALSE,,,0,FALSE,,FALSE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natives New/files/Q00912.01-0000113053.PDF,Q00912.01-0000113053.PDF,.pdf,1612426,error,FALSE,FALSE,,FALSE,0,0,0,FALSE,0,FALSE,,,FALSE,,FALSE,,,FALSE,,0,review_error,NameError,FALSE,FALSE,0,0,0,0,0,0,150.005,FALSE,FALSE,FALSE,extract_error,FALSE,,,0,FALSE,,FALSE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natives New/files/Q00912.01-0000113055.PDF,Q00912.01-0000113055.PDF,.pdf,1988224,error,FALSE,FALSE,,FALSE,0,0,0,FALSE,0,FALSE,,,FALSE,,FALSE,,,FALSE,,0,review_error,NameError,FALSE,FALSE,0,0,0,0,0,0,150.006,FALSE,FALSE,FALSE,extract_error,FALSE,,,0,FALSE,,FALSE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natives New/files/Q00912.01-0000113086.PDF,Q00912.01-0000113086.PDF,.pdf,2790372,error,FALSE,FALSE,,FALSE,0,0,0,FALSE,0,FALSE,,,FALSE,,FALSE,,,FALSE,,0,review_error,NameError,FALSE,FALSE,0,0,0,0,0,0,150.006,FALSE,FALSE,FALSE,extract_error,FALSE,,,0,FALSE,,FALSE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natives New/files/Q00912.01-0000113080.PDF,Q00912.01-0000113080.PDF,.pdf,1577240,error,FALSE,FALSE,,FALSE,0,0,0,FALSE,0,FALSE,,,FALSE,,FALSE,,,FALSE,,0,review_error,NameError,FALSE,FALSE,0,0,0,0,0,0,150.005,FALSE,FALSE,FALSE,extract_error,FALSE,,,0,FALSE,,FALSE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natives New/files/Q00912.01-0000113095.PDF,Q00912.01-0000113095.PDF,.pdf,186347,error,FALSE,FALSE,,FALSE,0,0,0,FALSE,0,FALSE,,,FALSE,,FALSE,,,FALSE,,0,review_error,NameError,FALSE,FALSE,0,0,0,0,0,0,150.005,FALSE,FALSE,FALSE,extract_error,FALSE,,,0,FALSE,,FALSE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natives New/files/Q00912.01-0000113110.PDF,Q00912.01-0000113110.PDF,.pdf,174748,error,FALSE,FALSE,,FALSE,0,0,0,FALSE,0,FALSE,,,FALSE,,FALSE,,,FALSE,,0,review_error,NameError,FALSE,FALSE,0,0,0,0,0,0,150.006,FALSE,FALSE,FALSE,extract_error,FALSE,,,0,FALSE,,FALSE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
